college,pla,age,race,gender,income,for-profit to for-profit,for-profit to private non-profit,for-profit to 2-year public,for-profit to 4-year public,for-profit to non-transfer,private non-profit to for-profit,private non-profit to private non-profit,private non-profit to 2-year public,private non-profit to 4-year public,private non-profit to non-transfer,2-year public to for-profit,2-year public to private non-profit,2-year public to 2-year public,2-year public to 4-year public,2-year public to non-transfer,4-year public to for-profit,4-year public to private non-profit,4-year public to 2-year public,4-year public to 4-year public,4-year public to non-transfer,for-profit to non-completers,private non-profit to non-completers,2-year public to non-completers,4-year public to non-completers,non-transfer to non-completers,for-profit to graduates,private non-profit to graduates,2-year public to graduates,4-year public to graduates,non-transfer to graduates,cost,time
private non-profit,none,all,White,male,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0184,0.0245,0.0368,0.0377,0.1093,0.0628,0.0837,0.1256,0.1285,0.3727,140144.0000,3.8000
private non-profit,none,18 to 24,all,all,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0209,0.0279,0.0419,0.0429,0.1244,0.0603,0.0803,0.1205,0.1233,0.3576,140144.0000,3.8000
private non-profit,none,over 24,all,all,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0453,0.0604,0.0906,0.0927,0.2690,0.0359,0.0478,0.0718,0.0735,0.2130,140144.0000,3.8000
private non-profit,none,18 to 24,Black,all,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0271,0.0361,0.0542,0.0555,0.1608,0.0541,0.0721,0.1082,0.1107,0.3212,140144.0000,3.8000
private non-profit,none,over 24,Black,all,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0515,0.0686,0.1029,0.1053,0.3054,0.0297,0.0396,0.0595,0.0609,0.1766,140144.0000,3.8000
private non-profit,none,18 to 24,Hispanic,all,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0263,0.0350,0.0526,0.0538,0.1560,0.0549,0.0732,0.1098,0.1124,0.3260,140144.0000,3.8000
private non-profit,none,over 24,Hispanic,all,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0506,0.0675,0.1013,0.1037,0.3006,0.0306,0.0407,0.0611,0.0625,0.1814,140144.0000,3.8000
private non-profit,none,18 to 24,White,all,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0095,0.0126,0.0190,0.0194,0.0562,0.0717,0.0956,0.1434,0.1468,0.4258,140144.0000,3.8000
private non-profit,none,over 24,White,all,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0338,0.0451,0.0677,0.0693,0.2008,0.0474,0.0631,0.0947,0.0969,0.2812,140144.0000,3.8000
private non-profit,none,18 to 24,all,female,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0185,0.0247,0.0370,0.0379,0.1099,0.0627,0.0835,0.1254,0.1283,0.3721,140144.0000,3.8000
private non-profit,none,over 24,all,female,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0429,0.0571,0.0857,0.0878,0.2545,0.0383,0.0511,0.0767,0.0784,0.2275,140144.0000,3.8000
private non-profit,none,18 to 24,Black,female,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0247,0.0329,0.0493,0.0505,0.1464,0.0565,0.0753,0.1131,0.1157,0.3356,140144.0000,3.8000
private non-profit,none,over 24,Black,female,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0490,0.0653,0.0980,0.1003,0.2910,0.0322,0.0429,0.0644,0.0659,0.1910,140144.0000,3.8000
private non-profit,none,18 to 24,Hispanic,female,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0238,0.0318,0.0477,0.0488,0.1416,0.0574,0.0764,0.1147,0.1174,0.3404,140144.0000,3.8000
private non-profit,none,over 24,Hispanic,female,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0482,0.0642,0.0964,0.0987,0.2862,0.0330,0.0440,0.0660,0.0675,0.1958,140144.0000,3.8000
private non-profit,none,18 to 24,White,female,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0070,0.0094,0.0141,0.0144,0.0418,0.0742,0.0988,0.1483,0.1518,0.4402,140144.0000,3.8000
private non-profit,none,over 24,White,female,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0314,0.0418,0.0628,0.0643,0.1864,0.0498,0.0664,0.0996,0.1019,0.2956,140144.0000,3.8000
private non-profit,none,18 to 24,all,male,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0234,0.0312,0.0468,0.0479,0.1388,0.0578,0.0770,0.1156,0.1183,0.3432,140144.0000,3.8000
private non-profit,none,over 24,all,male,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0477,0.0636,0.0955,0.0977,0.2834,0.0335,0.0446,0.0669,0.0685,0.1986,140144.0000,3.8000
private non-profit,none,18 to 24,Black,male,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0295,0.0394,0.0591,0.0604,0.1753,0.0517,0.0688,0.1033,0.1058,0.3067,140144.0000,3.8000
private non-profit,none,over 24,Black,male,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0539,0.0718,0.1078,0.1103,0.3199,0.0273,0.0364,0.0546,0.0559,0.1621,140144.0000,3.8000
private non-profit,none,18 to 24,Hispanic,male,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0287,0.0383,0.0574,0.0588,0.1705,0.0525,0.0699,0.1050,0.1074,0.3115,140144.0000,3.8000
private non-profit,none,over 24,Hispanic,male,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0531,0.0707,0.1062,0.1086,0.3151,0.0281,0.0375,0.0562,0.0576,0.1669,140144.0000,3.8000
private non-profit,none,18 to 24,White,male,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0119,0.0159,0.0238,0.0244,0.0707,0.0693,0.0923,0.1386,0.1418,0.4113,140144.0000,3.8000
private non-profit,none,over 24,White,male,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0363,0.0483,0.0725,0.0742,0.2153,0.0449,0.0599,0.0899,0.0920,0.2667,140144.0000,3.8000
private non-profit,none,18 to 24,all,all,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0266,0.0355,0.0533,0.0545,0.1581,0.0546,0.0727,0.1091,0.1117,0.3239,140144.0000,3.8000
private non-profit,none,over 24,all,all,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0510,0.0679,0.1020,0.1044,0.3027,0.0302,0.0403,0.0604,0.0618,0.1793,140144.0000,3.8000
private non-profit,none,18 to 24,Black,all,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0328,0.0437,0.0656,0.0671,0.1946,0.0484,0.0645,0.0968,0.0991,0.2874,140144.0000,3.8000
private non-profit,none,over 24,Black,all,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0571,0.0761,0.1143,0.1170,0.3392,0.0241,0.0321,0.0481,0.0492,0.1428,140144.0000,3.8000
private non-profit,none,18 to 24,Hispanic,all,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0320,0.0426,0.0639,0.0654,0.1898,0.0492,0.0656,0.0985,0.1008,0.2922,140144.0000,3.8000
private non-profit,none,over 24,Hispanic,all,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0563,0.0751,0.1127,0.1153,0.3344,0.0249,0.0331,0.0497,0.0509,0.1476,140144.0000,3.8000
private non-profit,none,18 to 24,White,all,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0152,0.0202,0.0303,0.0310,0.0900,0.0660,0.0880,0.1321,0.1352,0.3920,140144.0000,3.8000
private non-profit,none,over 24,White,all,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0395,0.0527,0.0790,0.0809,0.2346,0.0417,0.0555,0.0834,0.0853,0.2474,140144.0000,3.8000
private non-profit,none,18 to 24,all,female,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0242,0.0322,0.0484,0.0495,0.1436,0.0570,0.0760,0.1140,0.1167,0.3384,140144.0000,3.8000
private non-profit,none,over 24,all,female,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0486,0.0647,0.0971,0.0994,0.2882,0.0326,0.0435,0.0653,0.0668,0.1938,140144.0000,3.8000
private non-profit,none,18 to 24,Black,female,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0303,0.0404,0.0607,0.0621,0.1801,0.0509,0.0678,0.1017,0.1041,0.3019,140144.0000,3.8000
private non-profit,none,over 24,Black,female,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0547,0.0729,0.1094,0.1120,0.3247,0.0265,0.0353,0.0530,0.0542,0.1573,140144.0000,3.8000
private non-profit,none,18 to 24,Hispanic,female,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0295,0.0394,0.0591,0.0604,0.1753,0.0517,0.0688,0.1033,0.1058,0.3067,140144.0000,3.8000
private non-profit,none,over 24,Hispanic,female,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0539,0.0718,0.1078,0.1103,0.3199,0.0273,0.0364,0.0546,0.0559,0.1621,140144.0000,3.8000
private non-profit,none,18 to 24,White,female,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0127,0.0170,0.0254,0.0260,0.0755,0.0685,0.0912,0.1370,0.1402,0.4065,140144.0000,3.8000
private non-profit,none,over 24,White,female,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0371,0.0494,0.0742,0.0759,0.2201,0.0441,0.0588,0.0882,0.0903,0.2619,140144.0000,3.8000
private non-profit,none,18 to 24,all,male,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0291,0.0387,0.0581,0.0595,0.1726,0.0521,0.0695,0.1043,0.1067,0.3094,140144.0000,3.8000
private non-profit,none,over 24,all,male,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0534,0.0712,0.1069,0.1094,0.3172,0.0278,0.0370,0.0555,0.0568,0.1648,140144.0000,3.8000
private non-profit,none,18 to 24,Black,male,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0352,0.0469,0.0704,0.0721,0.2090,0.0460,0.0613,0.0920,0.0941,0.2730,140144.0000,3.8000
private non-profit,none,over 24,Black,male,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0596,0.0794,0.1192,0.1219,0.3536,0.0216,0.0288,0.0432,0.0443,0.1284,140144.0000,3.8000
private non-profit,none,18 to 24,Hispanic,male,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0344,0.0458,0.0688,0.0704,0.2042,0.0468,0.0624,0.0936,0.0958,0.2778,140144.0000,3.8000
private non-profit,none,over 24,Hispanic,male,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0588,0.0783,0.1175,0.1203,0.3488,0.0224,0.0299,0.0449,0.0459,0.1332,140144.0000,3.8000
private non-profit,none,18 to 24,White,male,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0176,0.0234,0.0352,0.0360,0.1044,0.0636,0.0848,0.1272,0.1302,0.3776,140144.0000,3.8000
private non-profit,none,over 24,White,male,low income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0420,0.0559,0.0839,0.0859,0.2490,0.0392,0.0523,0.0785,0.0803,0.2330,140144.0000,3.8000
private non-profit,none,18 to 24,all,all,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0153,0.0203,0.0305,0.0312,0.0906,0.0659,0.0879,0.1319,0.1350,0.3914,140144.0000,3.8000
private non-profit,none,over 24,all,all,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0396,0.0528,0.0793,0.0811,0.2352,0.0416,0.0554,0.0831,0.0851,0.2468,140144.0000,3.8000
private non-profit,none,18 to 24,Black,all,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0214,0.0285,0.0428,0.0438,0.1271,0.0598,0.0797,0.1196,0.1224,0.3549,140144.0000,3.8000
private non-profit,none,over 24,Black,all,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0458,0.0610,0.0915,0.0937,0.2717,0.0354,0.0472,0.0709,0.0725,0.2103,140144.0000,3.8000
private non-profit,none,18 to 24,Hispanic,all,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0206,0.0275,0.0412,0.0422,0.1223,0.0606,0.0807,0.1212,0.1240,0.3597,140144.0000,3.8000
private non-profit,none,over 24,Hispanic,all,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0450,0.0599,0.0899,0.0920,0.2669,0.0362,0.0483,0.0725,0.0742,0.2151,140144.0000,3.8000
private non-profit,none,18 to 24,White,all,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0038,0.0051,0.0076,0.0078,0.0225,0.0774,0.1031,0.1548,0.1584,0.4595,140144.0000,3.8000
private non-profit,none,over 24,White,all,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0282,0.0375,0.0563,0.0576,0.1671,0.0530,0.0707,0.1061,0.1086,0.3149,140144.0000,3.8000
private non-profit,none,18 to 24,all,female,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0128,0.0171,0.0257,0.0263,0.0762,0.0684,0.0911,0.1367,0.1399,0.4058,140144.0000,3.8000
private non-profit,none,over 24,all,female,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0372,0.0496,0.0744,0.0761,0.2208,0.0440,0.0586,0.0880,0.0901,0.2612,140144.0000,3.8000
private non-profit,none,18 to 24,Black,female,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0190,0.0253,0.0380,0.0388,0.1126,0.0622,0.0829,0.1244,0.1274,0.3694,140144.0000,3.8000
private non-profit,none,over 24,Black,female,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0433,0.0577,0.0867,0.0887,0.2572,0.0379,0.0505,0.0757,0.0775,0.2248,140144.0000,3.8000
private non-profit,none,18 to 24,Hispanic,female,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0182,0.0242,0.0363,0.0372,0.1078,0.0630,0.0840,0.1261,0.1290,0.3742,140144.0000,3.8000
private non-profit,none,over 24,Hispanic,female,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0425,0.0567,0.0850,0.0870,0.2524,0.0387,0.0515,0.0774,0.0792,0.2296,140144.0000,3.8000
private non-profit,none,18 to 24,White,female,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0016,0.0022,0.0032,0.0033,0.0096,0.0796,0.1060,0.1592,0.1629,0.4724,140144.0000,3.8000
private non-profit,none,over 24,White,female,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0257,0.0343,0.0514,0.0526,0.1526,0.0555,0.0739,0.1110,0.1136,0.3294,140144.0000,3.8000
private non-profit,none,18 to 24,all,male,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0177,0.0236,0.0354,0.0362,0.1051,0.0635,0.0846,0.1270,0.1300,0.3769,140144.0000,3.8000
private non-profit,none,over 24,all,male,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0421,0.0560,0.0841,0.0861,0.2497,0.0391,0.0522,0.0783,0.0801,0.2323,140144.0000,3.8000
private non-profit,none,18 to 24,Black,male,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0238,0.0318,0.0477,0.0488,0.1416,0.0574,0.0764,0.1147,0.1174,0.3404,140144.0000,3.8000
private non-profit,none,over 24,Black,male,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0482,0.0642,0.0964,0.0987,0.2862,0.0330,0.0440,0.0660,0.0675,0.1958,140144.0000,3.8000
private non-profit,none,18 to 24,Hispanic,male,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0230,0.0307,0.0461,0.0472,0.1367,0.0582,0.0775,0.1163,0.1190,0.3453,140144.0000,3.8000
private non-profit,none,over 24,Hispanic,male,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0474,0.0632,0.0948,0.0970,0.2813,0.0338,0.0450,0.0676,0.0692,0.2007,140144.0000,3.8000
private non-profit,none,18 to 24,White,male,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0062,0.0083,0.0125,0.0127,0.0370,0.0750,0.0999,0.1499,0.1535,0.4450,140144.0000,3.8000
private non-profit,none,over 24,White,male,middle or high income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0306,0.0408,0.0612,0.0626,0.1816,0.0506,0.0674,0.1012,0.1036,0.3004,140144.0000,3.8000
private non-profit,less than 15 credits,all,all,all,all,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1082,0.1624,0.1662,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,0.0082,0.0123,0.0125,0.0364,0.0751,0.1000,0.1501,0.1537,0.4456,135939.6800,3.6860
